BHK,Size,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Floor_num,Floor_building
2,1000,Carpet Area,Delhi,Semi-Furnished,Bachelors,2,Contact Agent,1,4
1,450,Carpet Area,Delhi,Semi-Furnished,Bachelors,1,Contact Agent,1,4
2,1300,Carpet Area,Hyderabad,Semi-Furnished,Bachelors,2,Contact Owner,1,1
2,400,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
2,1400,Super Area,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner,1,1
2,700,Carpet Area,Mumbai,Furnished,Family,2,Contact Agent,3,8
2,1000,Super Area,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner,3,5
1,265,Super Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,6,7
1,400,Carpet Area,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,2,13
2,700,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
2,650,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
1,450,Super Area,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner,1,4
2,900,Super Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
2,1248,Carpet Area,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner,4,5
3,1100,Super Area,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
2,950,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,2,4
3,1125,Super Area,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,3
1,500,Super Area,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,5
